"sample","Species_code_sample","RT","MZ","PC_ID","TIC"
"DN1686","M4_1686_2",1.2431,416.0647,"M4_79",3004.80438485619
"DN1686","M4_1686_2",6.5151,426.082,"M4_1",3005.77916405504
"DN1686","M4_1686_2",9.0088,438.081,"M4_3",13213.7228656745
"DN1686","M4_1686_2",6.4348,439.0865,"M4_63",3636.62522012516
"DN1686","M4_1686_2",12.506,447.0911,"M4_74",4359.51814036628
"DN1686","M4_1686_2",8.8497,453.0456,"M4_15",665.466285787837
"DN1686","M4_1686_2",6.5049,454.0765,"M4_1",4127.16814334752
"DN1686","M4_1686_2",8.8515,455.0612,"M4_15",628.919674713129
"DN1686","M4_1686_2",10.8255,457.0758,"M4_31",5549.08513229846
"DN1686","M4_1686_2",10.9752,457.0749,"M4_68",5456.72345609424
"DN1686","M4_1686_2",8.8414,457.0761,"M4_15",9937.32252194281
"DN1686","M4_1686_2",8.8414,458.0799,"M4_15",1003.22267298473
"DN1686","M4_1686_2",11.0011,461.0699,"M4_2",6687.89990611148
"DN1686","M4_1686_2",10.9939,463.0868,"M4_2",231252.064400575
"DN1686","M4_1686_2",13.1579,463.0843,"M4_112",2950.84531165231
"DN1686","M4_1686_2",10.9939,464.0894,"M4_2",50389.874136017
"DN1686","M4_1686_2",8.6885,465.0667,"M4_66",4107.93043349606
"DN1686","M4_1686_2",10.9939,465.0918,"M4_2",9539.28714451384
"DN1686","M4_1686_2",8.8244,479.0589,"M4_15",3160.36858599262
"DN1686","M4_1686_2",9.0202,482.071,"M4_3",38104.8729012628
"DN1686","M4_1686_2",9.0195,483.0748,"M4_3",6779.19313873747
"DN1686","M4_1686_2",10.7189,484.087,"M4_6",178997.671766511
"DN1686","M4_1686_2",9.0059,484.0871,"M4_3",196439.234268587
"DN1686","M4_1686_2",10.2547,484.0873,"M4_96",845.472366760245
"DN1686","M4_1686_2",10.7261,485.0902,"M4_6",42909.097980993
"DN1686","M4_1686_2",9.0023,485.0907,"M4_3",43021.1684574855
"DN1686","M4_1686_2",10.7245,486.0919,"M4_6",7451.70402659802
"DN1686","M4_1686_2",9.0046,486.0926,"M4_3",8225.73391896973
"DN1686","M4_1686_2",3.5,493.1189,"M4_81",6692.62851170685
"DN1686","M4_1686_2",3.7602,493.1167,"M4_97",4097.18897674106
"DN1686","M4_1686_2",2.9756,493.1189,"M4_133",3458.8525509921
"DN1686","M4_1686_2",11.0011,497.0915,"M4_2",12006.3245251465
"DN1686","M4_1686_2",6.5049,498.0669,"M4_1",4678.98463769533
"DN1686","M4_1686_2",9.0188,500.0818,"M4_3",7914.83756692732
"DN1686","M4_1686_2",9.013,506.0688,"M4_3",5357.13396521883
"DN1686","M4_1686_2",9.0153,518.0927,"M4_3",1817.09067351498
"DN1686","M4_1686_2",9.007,536.9984,"M4_3",2627.53414926641
"DN1686","M4_1686_2",9.007,538.006,"M4_3",2201.58963919144
