species_sample,compound_number,TIC
M4_1686_2,48,78730.133240
M4_1686_2,49,21251.458008
M4_1686_2,51,6763.721466
M4_1686_2,52,23911.749451
M4_1686_2,53,3160.912659
M4_1686_2,54,47979.263275
M4_1686_2,56,27251.254761
M4_1686_2,57,80945.992188
M4_1686_2,58,88305.827942
M4_1686_2,71,2339.910675
M4_1686_2,76,16763.043945
M4_1686_2,77,23053.061462
M4_1686_2,78,30510.048462
M4_1686_2,79,19896.684814
M4_1686_2,80,12664.958603
M4_1686_2,81,5997.320801
M4_1686_2,82,84498.177551
M4_1686_2,91,3725.140198
M4_1686_2,93,992.781036
M4_1686_2,95,18015.932495
M4_1686_2,96,51398.354736
M4_1686_2,97,18823.250366
M4_1686_2,101,4044.156616
M4_1686_2,102,11747.116974
M4_1686_2,103,13783.953613
M4_1686_2,104,11586.306824
M4_1686_2,110,33097.162323
M4_1686_2,111,14672.028198
M4_1686_2,116,3044.525269
M4_1686_2,118,8806.829987
M4_1686_2,119,7156.059814
M4_1686_2,120,5002.099243
M4_1686_2,121,1969.444336
M4_1686_2,132,8709.789368
M4_1686_2,138,41946.429932
M4_1686_2,139,18178.724915
M4_1686_2,142,9268.902039
M4_1686_2,143,21858.697510
M4_1686_2,144,16294.556763
M4_1686_2,145,62250.300476
M4_1686_2,146,10679.963989
M4_1686_2,148,7959.523376
M4_1686_2,150,649.477600
M4_1686_2,158,2963.266998
M4_1686_2,160,865.683228
M4_1686_2,161,21899.380676
M4_1686_2,162,6232.720215
M4_1686_2,163,9325.071716
M4_1686_2,165,40793.734375
T69_1423,1,2666070.516479
T69_1423,3,411008.718475
T69_1423,6,1094462.543732
T69_1423,7,104074.973267
T69_1423,8,2000871.578064
T69_1423,9,2218.580902
T69_1423,11,404681.775330
T69_1423,12,40878.449432
T69_1423,13,198969.494110
T69_1423,14,174288.525421
T69_1423,16,198879.131348
T69_1423,17,74808.660309
T69_1423,19,142990.895874
T69_1423,21,36497.035156
T69_1423,22,55108.812195
T69_1423,24,1185.281433
T69_1423,25,40482.840637
T69_1423,26,143136.586365
T69_1423,27,12973.064850
T69_1423,29,23779.645752
T69_1423,30,25885.701874
T69_1423,31,485.354980
T69_1423,32,10223.777893
T69_1423,33,34458.078339
T69_1423,34,70837.842896
T69_1423,35,2102.171204
T69_1423,38,10769.353088
T69_1423,39,5078.688080
T69_1423,42,7716.346069
T69_1423,43,796344.630615
T69_1423,44,13670.447357
T69_1423,45,16883.195251
T69_1423,46,14306.531525
T69_1423,47,86188.196228
T69_1423,49,880.570526
T69_1423,54,9750.422333
T69_1423,56,59026.258087
T69_1423,58,9974.561829
T69_1423,59,16556.500366
T69_1423,60,8682.114777
T69_1423,61,2584.969788
T69_1423,62,72513.311096
T69_1423,63,10970.005127
T69_1423,64,45953.219238
T69_1423,65,3283.723022
T69_1423,67,17997.563904
T69_1423,68,7526.021667
T69_1423,69,30639.743835
T69_1423,70,15502.425446
T69_1423,71,2944.163208
T69_1423,73,3436.250488
T69_1423,75,1286.293304
T69_1423,82,93836.056641
T69_1423,84,13621.976440
T69_1423,85,743.150391
T69_1423,86,21385.443085
T69_1423,88,24490.833710
