feature_number,sample,rt,mz,PC_ID,TIC
18,DN732,5.008300,203.081600,M4_87,3017.467729
18,DN733,5.008300,203.081600,M4_87,5747.560468
18,DN733,5.008300,203.081600,M4_87,5747.560468
18,DN734,5.008300,203.081600,M4_87,5444.733080
18,DN734,5.008300,203.081600,M4_87,5444.733080
19,DN1686,10.733300,203.080700,M4_6,2308.177095
19,DN1689,10.733300,203.080700,M4_6,640.799497
19,DN732,10.733300,203.080700,M4_6,665.624975
19,DN733,10.733300,203.080700,M4_6,781.850913
19,DN734,10.733300,203.080700,M4_6,475.826899
20,DN1686,6.512700,206.044700,M4_1,14945.079930
20,DN1689,6.512700,206.044700,M4_1,12382.478268
20,DN732,6.512700,206.044700,M4_1,15909.810004
20,DN733,6.512700,206.044700,M4_1,14333.254860
20,DN734,6.512700,206.044700,M4_1,9521.198550
21,DN1686,2.836200,208.027100,M4_94,3691.944977
21,DN1686,2.836200,208.027100,M4_94,3691.944977
21,DN1689,2.836200,208.027100,M4_94,1336.726732
21,DN1689,2.836200,208.027100,M4_94,1336.726732
21,DN732,2.836200,208.027100,M4_94,18.081877
21,DN732,2.836200,208.027100,M4_94,18.081877
21,DN733,2.836200,208.027100,M4_94,9.048485
21,DN733,2.836200,208.027100,M4_94,9.048485
21,DN734,2.836200,208.027100,M4_94,60.990410
21,DN734,2.836200,208.027100,M4_94,60.990410
22,DN1686,10.733300,245.091200,M4_6,3430.842597
22,DN1689,10.733300,245.091200,M4_6,1359.603148
22,DN732,10.733300,245.091200,M4_6,1874.977909
22,DN733,10.733300,245.091200,M4_6,2341.262334
22,DN734,10.733300,245.091200,M4_6,1202.416299
23,DN1686,30.283700,265.146900,M4_39,3046.277315
23,DN1689,30.283700,265.146900,M4_39,778.830166
23,DN732,30.283700,265.146900,M4_39,34850.464620
23,DN733,30.283700,265.146900,M4_39,31808.080242
23,DN734,30.283700,265.146900,M4_39,32716.945178
24,DN1686,30.291500,266.150400,M4_39,332.542449
24,DN1689,30.291500,266.150400,M4_39,83.441170
24,DN732,30.291500,266.150400,M4_39,4059.438381
24,DN733,30.291500,266.150400,M4_39,3234.656007
24,DN734,30.291500,266.150400,M4_39,2324.521800
25,DN1686,6.537700,273.002300,M4_95,6707.326786
25,DN1689,6.537700,273.002300,M4_95,5659.078534
25,DN732,6.537700,273.002300,M4_95,6554.997053
25,DN733,6.537700,273.002300,M4_95,4940.815643
25,DN734,6.537700,273.002300,M4_95,3286.024442
26,DN1686,1.243100,280.996300,M4_79,3963.529890
26,DN1689,1.243100,280.996300,M4_79,2162.849707
26,DN732,1.243100,280.996300,M4_79,1211.323481
26,DN733,1.243100,280.996300,M4_79,1655.055112
26,DN734,1.243100,280.996300,M4_79,891.914951
27,DN1686,6.504000,286.070800,M4_1,7849.412686
27,DN1689,6.504000,286.070800,M4_1,7248.880198
27,DN732,6.504000,286.070800,M4_1,11368.667162
27,DN733,6.504000,286.070800,M4_1,11577.166828
27,DN734,6.504000,286.070800,M4_1,8805.127987
28,DN1686,8.847300,287.055100,M4_15,415.073098
28,DN1689,8.847300,287.055100,M4_15,909.384548
28,DN732,8.847300,287.055100,M4_15,2327.247248
28,DN733,8.847300,287.055100,M4_15,2784.479896
28,DN734,8.847300,287.055100,M4_15,245.031188
29,DN1686,6.498700,288.086000,M4_1,5407.203683
29,DN1689,6.498700,288.086000,M4_1,4920.202457
29,DN732,6.498700,288.086000,M4_1,6050.721755
29,DN733,6.498700,288.086000,M4_1,5068.855826
29,DN734,6.498700,288.086000,M4_1,3327.708953
30,DN1686,28.915800,295.227300,M4_110,2496.933363
30,DN1689,28.915800,295.227300,M4_110,4756.527833
30,DN732,28.915800,295.227300,M4_110,608.652582
30,DN733,28.915800,295.227300,M4_110,2188.372708
30,DN734,28.915800,295.227300,M4_110,1035.007895
30,DN1420,29.082000,295.226500,T69_238,334.341537
30,DN1420,29.082000,295.226500,T69_238,334.341537
30,DN1421,29.082000,295.226500,T69_238,2926.932411
30,DN1421,29.082000,295.226500,T69_238,2926.932411
30,DN1422,29.082000,295.226500,T69_238,3823.358406
30,DN1422,29.082000,295.226500,T69_238,3823.358406
30,DN1423,29.082000,295.226500,T69_238,492.610170
30,DN1423,29.082000,295.226500,T69_238,492.610170
30,DN1521,29.082000,295.226500,T69_238,4739.779466
30,DN1521,29.082000,295.226500,T69_238,4739.779466
31,DN1686,30.542300,297.152400,M4_53,4167.633190
31,DN1689,30.542300,297.152400,M4_53,2461.709746
31,DN732,30.542300,297.152400,M4_53,27089.682396
31,DN733,30.542300,297.152400,M4_53,24966.798746
31,DN734,30.542300,297.152400,M4_53,29170.160954
32,DN1686,6.505800,298.981800,M4_1,7779.523342
32,DN1689,6.505800,298.981800,M4_1,5084.381401
32,DN732,6.505800,298.981800,M4_1,8959.866303
32,DN733,6.505800,298.981800,M4_1,7388.851719
32,DN734,6.505800,298.981800,M4_1,4271.362335
33,DN1686,9.031400,298.982100,M4_3,3842.798118
33,DN1689,9.031400,298.982100,M4_3,1673.379744
33,DN732,9.031400,298.982100,M4_3,3096.150639
33,DN733,9.031400,298.982100,M4_3,3830.683684
33,DN734,9.031400,298.982100,M4_3,1946.631171
34,DN1686,6.510300,299.989000,M4_1,7563.069859
34,DN1689,6.510300,299.989000,M4_1,2922.048746
34,DN732,6.510300,299.989000,M4_1,9004.607169
34,DN733,6.510300,299.989000,M4_1,7789.917110
34,DN734,6.510300,299.989000,M4_1,5929.419771
35,DN1686,10.673000,300.997600,M4_130,11347.022901
35,DN1689,10.673000,300.997600,M4_130,4282.045437
35,DN732,10.673000,300.997600,M4_130,3920.886129
35,DN733,10.673000,300.997600,M4_130,2056.648215
35,DN734,10.673000,300.997600,M4_130,6795.667096
36,DN1686,9.020100,300.997200,M4_3,12492.773847
36,DN1689,9.020100,300.997200,M4_3,5887.625405
36,DN732,9.020100,300.997200,M4_3,7250.227933
36,DN733,9.020100,300.997200,M4_3,11942.834422
36,DN734,9.020100,300.997200,M4_3,7175.132093
37,DN1686,13.285200,304.038400,M4_111,1673.703218
37,DN1689,13.285200,304.038400,M4_111,650.737236
37,DN732,13.285200,304.038400,M4_111,794.185878
37,DN733,13.285200,304.038400,M4_111,853.144953
37,DN734,13.285200,304.038400,M4_111,4348.368395
38,DN1686,14.527500,304.039600,M4_99,1948.873348
38,DN1689,14.527500,304.039600,M4_99,447.008913
38,DN732,14.527500,304.039600,M4_99,821.338865
38,DN733,14.527500,304.039600,M4_99,542.875348
38,DN734,14.527500,304.039600,M4_99,6258.162451
39,DN1686,8.822600,305.065500,M4_15,2380.482477
39,DN1689,8.822600,305.065500,M4_15,2379.271936
39,DN732,8.822600,305.065500,M4_15,3698.619987
39,DN733,8.822600,305.065500,M4_15,3695.210887
39,DN734,8.822600,305.065500,M4_15,414.932839
40,DN1686,10.932800,315.012200,M4_116,2790.889591
40,DN1689,10.932800,315.012200,M4_116,840.551821
40,DN732,10.932800,315.012200,M4_116,731.066698
40,DN733,10.932800,315.012200,M4_116,514.098891
40,DN734,10.932800,315.012200,M4_116,389.929715
41,DN1686,10.993900,316.019800,M4_2,10439.953028
41,DN1689,10.993900,316.019800,M4_2,7169.312548
41,DN732,10.993900,316.019800,M4_2,4800.530558
41,DN733,10.993900,316.019800,M4_2,5278.975593
